strategy,universe,universe_key,variation,variation_rationale,survivorship_free,total_return,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,num_trades,profit_factor,correlation,stop_loss,trailing_stop,take_profit,time_stop,vol_scaling,inv_vol,alpha
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Base,Baseline for comparison,True,4064.4009528320544,1.28366976291723,0.45773557990272623,0.872670349963101,-0.7448903054979137,0.48853211009174313,4360,3.5458273036154764,-0.01041700596066787,,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Tight Stop Loss,Mean reversion can fail catastrophically; tight stops essential,True,4064.4009528320553,1.28366976291723,0.45773557990272623,0.8726703499631011,-0.7448903054979134,0.48853211009174313,4360,3.5458273036154764,-0.010417005960667866,0.05,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Drawdown Control,Base strategy had -73% drawdown; add protection,True,4064.4009528320553,1.28366976291723,0.45773557990272623,0.8726703499631011,-0.7448903054979134,0.48853211009174313,4360,3.5458273036154764,-0.010417005960667866,,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Stop + Take Profit,Captures typical reversion move while limiting downside,True,4064.4009528320553,1.28366976291723,0.45773557990272623,0.8726703499631011,-0.7448903054979134,0.48853211009174313,4360,3.5458273036154764,-0.010417005960667866,0.05,,0.1,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Risk Parity,Sharpe is 0.44; vol scaling may improve risk-adjusted returns,True,510.30156330814174,0.8584837473885372,0.36597787604290444,0.7189866052387037,-0.7197550976838393,0.4887459807073955,4354,3.5516068323539236,-0.014501863802112283,,,,,True,True,Alpha033 Gap Reversal
Alpha033 Gap Reversal,S&P 500 Survivorship-Free (200),sp500_sf_200,Time Stop (10d),Failed reversions tie up capital; time stops free it,True,4064.4009528320553,1.28366976291723,0.45773557990272623,0.8726703499631011,-0.7448903054979134,0.48853211009174313,4360,3.5458273036154764,-0.010417005960667866,,,,10.0,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,Liquid 500,liquid_500,Base,Baseline for comparison,False,1604.7557814972297,1.0823102586686204,1.1187946271361295,0.19423083552907078,-0.6529975272334405,0.4794611307420495,4528,1.5100248529432971,0.18969095419665205,,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,Liquid 500,liquid_500,Tight Stop Loss,Mean reversion can fail catastrophically; tight stops essential,False,1604.7557814972297,1.0823102586686204,1.1187946271361298,0.19423083552907078,-0.6529975272334408,0.4794611307420495,4528,1.5100248529432971,0.18969095419665205,0.05,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,Liquid 500,liquid_500,Drawdown Control,Base strategy had -73% drawdown; add protection,False,1604.7557814972297,1.0823102586686204,1.1187946271361298,0.19423083552907078,-0.6529975272334408,0.4794611307420495,4528,1.5100248529432971,0.18969095419665205,,,,,False,False,Alpha033 Gap Reversal
Alpha033 Gap Reversal,Liquid 500,liquid_500,Stop + Take Profit,Captures typical reversion move while limiting downside,False,1604.7557814972297,1.0823102586686204,1.1187946271361298,0.19423083552907078,-0.6529975272334408,0.4794611307420495,4528,1.5100248529432971,0.18969095419665205,0.05,,0.1,,False,False,Alpha033 Gap Reversal
